location,temperature,charging_sessions_last_30d,firmware_version,cable_wear_indicator,voltage_instability_index,maintenance_type,next_maintenance_days
Location A,20.97,57,v2.0,0.78,2.39,Power Supply Unit Fault,5.75
Location B,30.79,64,v2.0,0.13,0.96,No Maintenance Needed,250.87
Location D,27.0,61,v1.1,0.92,0.81,Cable Inspection/Replacement,7.35
Location D,34.78,54,v1.2,0.59,1.77,No Maintenance Needed,246.88
Location D,27.08,67,v2.1,0.03,0.99,No Maintenance Needed,207.71
Location A,24.92,71,v2.0,0.96,0.56,Cable Inspection/Replacement,5.77
Location A,32.33,57,v2.0,0.31,1.02,No Maintenance Needed,341.55
Location C,35.01,59,v1.2,0.45,0.68,No Maintenance Needed,212.44
Location D,22.65,56,v2.0,0.28,0.22,No Maintenance Needed,304.56
Location A,27.51,64,v1.2,0.73,0.64,No Maintenance Needed,236.99
Location C,19.53,71,v2.0,0.49,0.77,Connector Cleaning/Repair,49.5
Location D,8.02,52,v2.0,0.13,0.56,No Maintenance Needed,306.48
Location B,29.6,62,v2.0,0.1,1.33,No Maintenance Needed,254.04
Location C,32.87,55,v1.2,0.73,0.68,No Maintenance Needed,245.39
Location A,30.1,65,v1.2,0.24,1.27,No Maintenance Needed,228.37
Location A,12.4,61,v1.1,0.14,0.54,Software Update/Reset,36.64
Location C,25.19,66,v2.1,0.5,1.58,No Maintenance Needed,323.8
Location C,10.25,67,v1.2,0.8,0.53,No Maintenance Needed,349.8
Location A,38.96,71,v2.0,0.28,0.31,Connector Cleaning/Repair,23.67
Location B,19.31,68,v2.0,0.28,1.86,No Maintenance Needed,337.45
Location D,38.04,53,v2.0,0.83,0.65,No Maintenance Needed,328.35
Location B,35.57,57,v2.1,0.15,2.41,Power Supply Unit Fault,2.33
Location C,20.8,59,v2.0,0.62,1.33,No Maintenance Needed,339.42
Location B,18.94,64,v2.0,0.96,1.48,Cable Inspection/Replacement,14.78
Location A,30.8,69,v1.1,0.84,1.69,Software Update/Reset,40.0
Location C,21.25,56,v2.0,0.06,1.06,No Maintenance Needed,254.15
Location D,28.82,50,v2.0,0.32,1.06,No Maintenance Needed,183.38
Location A,24.14,50,v1.1,0.14,1.9,Software Update/Reset,10.03
Location A,13.75,63,v2.0,0.95,1.06,Cable Inspection/Replacement,14.83
Location D,10.16,60,v2.0,0.99,0.69,Cable Inspection/Replacement,10.04
Location D,29.81,49,v2.0,0.23,1.34,No Maintenance Needed,206.61
Location B,23.51,51,v1.2,0.67,0.35,No Maintenance Needed,253.46
Location C,23.58,52,v2.0,0.84,1.93,No Maintenance Needed,310.26
Location D,33.57,58,v1.2,0.23,1.95,No Maintenance Needed,246.39
Location D,37.39,60,v2.0,0.19,1.82,No Maintenance Needed,356.24
Location C,25.82,65,v1.2,0.01,1.79,No Maintenance Needed,199.43
Location D,25.28,67,v2.0,0.41,0.96,No Maintenance Needed,291.11
Location D,32.0,56,v1.2,0.9,0.95,Cable Inspection/Replacement,12.78
Location B,17.14,78,v1.1,0.9,0.54,Cable Inspection/Replacement,13.84
Location A,29.79,68,v1.1,0.13,2.4,Power Supply Unit Fault,4.24
Location A,32.42,68,v1.0,0.2,0.78,Software Update/Reset,26.44
Location A,33.44,52,v2.0,0.41,1.19,No Maintenance Needed,290.69
Location A,12.51,50,v2.0,0.78,1.14,No Maintenance Needed,250.13
Location D,21.91,53,v1.0,0.61,0.51,Software Update/Reset,24.53
Location C,20.97,61,v1.0,0.51,0.42,Software Update/Reset,16.0
Location C,28.8,73,v1.2,0.59,1.0,Connector Cleaning/Repair,28.91
Location B,31.85,61,v2.0,0.1,0.8,No Maintenance Needed,313.81
Location B,39.97,54,v1.1,0.48,0.96,Software Update/Reset,16.75
Location D,24.04,58,v1.1,0.99,1.7,Cable Inspection/Replacement,15.4
Location C,24.02,61,v1.1,0.09,1.12,Software Update/Reset,30.0
Location C,37.2,61,v1.2,0.52,1.46,No Maintenance Needed,353.32
Location A,30.37,52,v1.1,0.3,1.25,Software Update/Reset,43.34
Location D,38.14,63,v1.2,0.54,0.85,No Maintenance Needed,274.01
Location D,30.31,57,v2.0,0.57,0.61,No Maintenance Needed,341.52
Location A,18.74,73,v2.0,0.58,1.14,Connector Cleaning/Repair,59.78
Location D,17.33,62,v1.0,0.85,1.04,Software Update/Reset,14.1
Location D,15.59,74,v2.0,0.39,1.58,Connector Cleaning/Repair,53.15
Location B,33.3,83,v1.2,0.52,0.93,Connector Cleaning/Repair,47.86
Location C,37.51,51,v2.1,0.01,0.86,No Maintenance Needed,225.16
Location D,42.79,61,v1.1,0.79,0.89,Software Update/Reset,13.53
Location B,34.74,70,v2.0,0.26,0.63,Connector Cleaning/Repair,42.71
Location C,37.3,71,v2.0,0.82,2.06,Connector Cleaning/Repair,37.25
Location A,23.36,68,v1.1,0.27,1.77,Software Update/Reset,28.9
Location B,18.75,49,v2.1,0.01,0.55,No Maintenance Needed,282.94
Location B,34.8,59,v1.2,0.15,1.49,No Maintenance Needed,223.46
Location C,31.34,54,v2.0,0.99,0.4,Cable Inspection/Replacement,11.26
Location A,28.86,61,v1.1,0.32,1.64,Software Update/Reset,34.66
Location B,31.1,59,v1.1,0.11,0.71,Software Update/Reset,34.98
Location D,30.59,60,v2.0,0.12,1.2,No Maintenance Needed,263.56
Location D,38.27,65,v1.2,0.31,0.38,No Maintenance Needed,232.96
Location D,38.36,62,v1.2,0.04,0.55,No Maintenance Needed,267.21
Location A,32.35,74,v1.2,0.51,1.26,Connector Cleaning/Repair,45.76
Location B,34.77,52,v2.0,0.21,0.7,No Maintenance Needed,243.98
Location D,32.11,59,v1.2,0.52,0.66,No Maintenance Needed,200.66
Location A,24.31,69,v1.0,0.14,2.01,Software Update/Reset,22.54
Location D,34.05,54,v2.0,0.43,3.02,Power Supply Unit Fault,4.21
Location C,16.84,59,v1.2,0.6,1.6,No Maintenance Needed,346.9
Location B,36.43,71,v1.2,0.06,0.58,Connector Cleaning/Repair,23.79
Location B,18.44,59,v1.0,0.4,2.42,Power Supply Unit Fault,1.84
Location A,30.29,66,v1.1,0.3,0.46,Software Update/Reset,16.17
Location A,21.24,59,v1.1,0.24,0.86,Software Update/Reset,24.97
Location B,32.43,63,v2.1,0.6,1.03,No Maintenance Needed,251.83
Location D,27.73,53,v1.2,0.59,2.62,Power Supply Unit Fault,5.31
Location D,15.24,55,v1.0,0.63,1.58,Software Update/Reset,44.38
Location C,31.37,58,v1.1,0.16,0.79,Software Update/Reset,35.91
Location D,23.38,76,v1.0,0.29,0.62,Software Update/Reset,27.1
Location A,35.05,46,v2.0,0.21,1.65,No Maintenance Needed,341.19
Location A,28.01,55,v1.1,0.54,0.77,Software Update/Reset,30.91
Location D,31.16,54,v1.2,0.46,1.11,No Maintenance Needed,271.98
Location A,20.34,60,v1.2,0.33,0.5,No Maintenance Needed,361.68
Location B,23.29,62,v2.0,0.79,1.33,No Maintenance Needed,184.07
Location B,24.33,59,v1.2,0.09,1.28,No Maintenance Needed,280.77
Location D,34.85,56,v1.2,0.97,0.54,Cable Inspection/Replacement,9.19
Location B,41.42,55,v2.0,0.12,1.67,No Maintenance Needed,307.5
Location B,21.56,57,v1.2,0.77,1.32,No Maintenance Needed,232.83
Location C,36.61,60,v2.0,0.37,1.45,No Maintenance Needed,231.7
Location C,10.64,63,v2.0,0.87,0.83,No Maintenance Needed,264.43
Location B,18.45,59,v1.2,0.07,1.09,No Maintenance Needed,196.26
Location D,20.33,68,v2.0,0.37,1.03,No Maintenance Needed,278.51
Location C,17.18,65,v2.1,0.34,0.93,No Maintenance Needed,339.07
Location A,15.33,58,v2.0,0.99,1.09,Cable Inspection/Replacement,6.14
Location A,31.3,52,v2.1,0.99,1.87,Cable Inspection/Replacement,8.83
Location A,26.29,53,v1.1,0.19,1.71,Software Update/Reset,28.06
Location D,31.04,53,v1.2,0.63,0.55,No Maintenance Needed,237.39
Location B,33.52,67,v2.1,0.54,1.64,No Maintenance Needed,208.67
Location A,30.12,62,v1.2,0.15,1.81,No Maintenance Needed,263.39
Location D,33.26,69,v2.1,0.17,0.93,Connector Cleaning/Repair,29.89
Location C,27.44,66,v1.0,0.99,1.29,Cable Inspection/Replacement,8.59
Location B,18.5,59,v2.1,0.45,1.28,No Maintenance Needed,257.93
Location C,36.46,60,v1.2,0.13,0.65,No Maintenance Needed,207.68
Location D,23.29,62,v1.0,0.21,0.83,Software Update/Reset,40.0
Location A,20.52,55,v2.0,0.27,1.46,No Maintenance Needed,275.08
Location A,26.58,49,v1.1,0.51,0.78,Software Update/Reset,29.31
Location D,20.7,65,v1.0,0.34,1.63,Software Update/Reset,38.32
Location A,24.66,64,v1.1,0.46,1.92,Software Update/Reset,29.96
Location B,30.75,49,v2.0,0.17,1.77,No Maintenance Needed,181.23
Location D,30.79,52,v2.1,0.33,2.69,Power Supply Unit Fault,3.44
Location C,20.82,57,v1.1,0.07,0.96,Software Update/Reset,20.26
Location D,24.1,67,v1.2,0.89,1.09,No Maintenance Needed,335.27
Location B,36.59,64,v1.1,0.2,1.17,Software Update/Reset,28.66
Location B,31.97,68,v2.0,0.76,0.97,No Maintenance Needed,225.8
Location D,44.6,62,v1.1,0.35,1.31,Software Update/Reset,38.68
Location D,37.44,58,v1.1,0.47,0.43,Software Update/Reset,31.43
Location A,37.15,59,v1.1,0.29,1.11,Software Update/Reset,18.76
Location B,16.9,64,v2.0,0.7,0.5,No Maintenance Needed,356.92
Location D,34.11,48,v2.0,0.84,0.62,No Maintenance Needed,321.66
Location D,27.58,46,v2.0,0.29,1.44,No Maintenance Needed,214.88
Location B,23.59,61,v1.0,0.24,0.91,Software Update/Reset,20.27
Location D,29.34,50,v2.0,0.68,1.42,No Maintenance Needed,233.98
Location A,35.56,46,v2.0,0.2,0.9,No Maintenance Needed,237.01
Location B,32.01,65,v1.1,0.64,1.74,Software Update/Reset,36.44
Location A,20.97,59,v1.0,0.09,0.89,Software Update/Reset,18.31
Location A,33.94,37,v1.1,0.62,0.38,Software Update/Reset,39.53
Location A,22.9,54,v2.0,0.51,1.12,No Maintenance Needed,319.53
Location A,29.73,66,v2.0,0.11,0.34,No Maintenance Needed,217.01
Location B,25.57,57,v2.0,0.65,0.48,No Maintenance Needed,198.73
Location A,26.25,67,v1.1,0.45,0.64,Software Update/Reset,20.36
Location A,34.13,66,v1.2,0.22,0.6,No Maintenance Needed,223.95
Location D,19.68,73,v2.1,0.35,0.76,Connector Cleaning/Repair,47.22
Location B,43.56,60,v1.1,0.49,0.59,Software Update/Reset,23.64
Location B,13.43,75,v2.1,0.09,0.5,Connector Cleaning/Repair,31.6
Location C,23.22,50,v2.0,0.96,2.16,Cable Inspection/Replacement,10.53
Location B,30.96,50,v1.1,0.67,0.71,Software Update/Reset,24.21
Location B,32.67,61,v1.2,0.1,0.33,No Maintenance Needed,325.3
Location C,27.2,57,v2.1,0.82,0.83,No Maintenance Needed,242.28
Location B,27.54,60,v1.2,0.32,0.57,No Maintenance Needed,306.82
Location B,31.28,49,v2.0,0.6,0.64,No Maintenance Needed,346.61
Location B,26.15,42,v1.1,0.28,1.43,Software Update/Reset,10.13
Location B,39.15,59,v2.0,0.73,0.8,No Maintenance Needed,345.71
Location C,34.71,62,v2.0,0.72,0.56,No Maintenance Needed,327.24
Location B,34.98,67,v2.1,0.55,1.25,No Maintenance Needed,320.74
Location B,20.27,62,v1.2,0.24,1.78,No Maintenance Needed,358.01
Location C,27.36,71,v2.0,0.25,1.31,Connector Cleaning/Repair,48.89
Location D,25.6,62,v1.0,0.38,0.29,Software Update/Reset,44.71
Location A,19.96,60,v1.1,0.15,0.57,Software Update/Reset,38.91
Location D,30.88,70,v1.1,0.34,1.02,Software Update/Reset,42.59
Location C,23.7,57,v1.0,0.68,0.89,Software Update/Reset,38.56
Location A,33.24,58,v1.1,0.83,0.85,Software Update/Reset,42.18
Location C,19.44,58,v1.2,0.33,0.61,No Maintenance Needed,180.6
Location C,41.75,53,v2.1,0.23,0.5,No Maintenance Needed,364.75
Location B,20.83,61,v2.0,0.83,2.73,Power Supply Unit Fault,2.89
Location A,29.75,65,v1.2,0.89,1.01,No Maintenance Needed,260.48
Location B,34.33,54,v2.1,0.41,1.38,No Maintenance Needed,212.62
Location A,23.43,66,v1.1,0.03,1.0,Software Update/Reset,18.28
Location C,34.82,67,v1.2,0.69,1.02,No Maintenance Needed,330.09
Location C,18.17,64,v2.0,0.78,0.97,No Maintenance Needed,241.94
Location D,39.62,75,v1.0,0.02,0.57,Software Update/Reset,33.82
Location A,28.11,54,v2.0,0.6,0.47,No Maintenance Needed,241.56
Location B,23.23,66,v1.0,0.59,1.21,Software Update/Reset,21.53
Location D,25.61,52,v1.1,0.38,1.1,Software Update/Reset,30.46
Location D,34.47,64,v1.1,0.75,1.6,Software Update/Reset,20.51
Location D,23.32,60,v2.1,0.43,1.44,No Maintenance Needed,339.43
Location B,22.01,61,v2.0,0.68,0.67,No Maintenance Needed,314.61
Location D,26.23,52,v2.0,0.52,1.76,No Maintenance Needed,334.67
Location B,18.58,54,v2.0,0.25,1.47,No Maintenance Needed,274.17
Location D,42.56,60,v1.1,0.61,1.41,Software Update/Reset,31.05
Location B,23.47,45,v2.0,0.74,3.08,Power Supply Unit Fault,5.27
Location C,34.65,60,v1.2,0.97,2.78,Power Supply Unit Fault,3.55
Location C,29.68,52,v1.1,0.38,1.41,Software Update/Reset,20.71
Location C,20.12,55,v2.0,0.06,1.33,No Maintenance Needed,184.93
Location C,27.95,47,v1.1,0.99,1.72,Cable Inspection/Replacement,11.2
Location C,34.27,55,v1.1,0.62,0.75,Software Update/Reset,19.45
Location D,26.49,60,v2.0,0.95,0.75,Cable Inspection/Replacement,17.64
Location D,37.54,62,v2.0,0.1,1.4,No Maintenance Needed,335.94
Location D,36.17,57,v2.0,0.34,0.65,No Maintenance Needed,202.96
Location B,35.35,70,v1.2,0.13,1.34,Connector Cleaning/Repair,44.1
Location B,24.32,61,v1.2,0.84,1.08,No Maintenance Needed,348.66
Location B,19.36,51,v2.0,0.88,0.65,No Maintenance Needed,247.85
Location B,23.09,65,v2.0,0.5,1.01,No Maintenance Needed,289.02
Location C,29.57,50,v2.0,0.19,1.92,No Maintenance Needed,257.41
Location C,32.37,57,v2.1,0.13,1.04,No Maintenance Needed,290.91
Location C,10.63,70,v2.1,0.59,1.04,Connector Cleaning/Repair,53.27
Location A,27.94,47,v1.2,0.51,1.18,No Maintenance Needed,181.78
Location D,29.26,59,v2.0,0.69,1.26,No Maintenance Needed,227.72
Location B,25.78,50,v2.0,0.31,0.85,No Maintenance Needed,258.82
Location B,38.33,54,v2.0,0.4,1.19,No Maintenance Needed,321.37
Location C,31.37,48,v1.0,0.02,0.59,Software Update/Reset,11.49
Location B,38.48,48,v2.0,0.61,0.67,No Maintenance Needed,228.47
Location B,26.27,75,v2.1,0.42,0.71,Connector Cleaning/Repair,51.58
Location D,35.5,63,v2.0,0.92,1.26,Cable Inspection/Replacement,10.66
Location C,41.08,75,v2.0,0.64,1.08,Connector Cleaning/Repair,53.83
Location D,38.49,41,v1.1,0.4,0.94,Software Update/Reset,16.57
Location A,19.26,46,v1.2,0.26,1.41,No Maintenance Needed,225.89
Location A,25.97,64,v1.1,0.91,1.21,Cable Inspection/Replacement,7.37
Location A,25.24,57,v1.2,0.02,0.87,No Maintenance Needed,261.67
Location C,31.91,54,v2.0,0.33,0.6,No Maintenance Needed,272.77
Location B,33.49,68,v1.2,0.94,0.66,Cable Inspection/Replacement,19.75
Location C,21.29,62,v2.0,0.65,0.48,No Maintenance Needed,241.78
Location C,28.54,53,v1.2,0.53,1.07,No Maintenance Needed,254.0
Location B,11.84,59,v1.1,0.2,0.65,Software Update/Reset,10.32
Location D,39.54,62,v1.0,0.83,0.78,Software Update/Reset,35.47
Location A,23.9,55,v2.0,0.2,0.94,No Maintenance Needed,341.55
Location D,28.45,64,v1.0,0.25,1.69,Software Update/Reset,23.3
Location A,25.52,59,v1.0,0.19,1.59,Software Update/Reset,23.58
Location C,37.17,52,v2.0,0.16,0.97,No Maintenance Needed,264.61
Location A,5.3,46,v2.1,0.95,1.88,Cable Inspection/Replacement,10.37
Location C,27.87,62,v2.0,0.6,0.37,No Maintenance Needed,273.61
Location D,27.15,66,v1.0,0.64,2.56,Power Supply Unit Fault,1.48
Location C,24.37,72,v1.1,0.95,1.41,Cable Inspection/Replacement,9.97
Location D,41.81,53,v2.1,0.23,1.05,No Maintenance Needed,309.48
Location B,20.9,64,v2.0,0.01,0.64,No Maintenance Needed,336.95
Location B,34.17,44,v2.0,0.6,0.8,No Maintenance Needed,359.36
Location B,30.85,61,v1.1,0.51,1.36,Software Update/Reset,27.0
Location C,38.09,60,v1.0,0.48,1.37,Software Update/Reset,20.43
Location B,22.66,52,v1.0,0.06,1.4,Software Update/Reset,21.33
Location A,22.14,63,v2.0,0.45,0.69,No Maintenance Needed,316.66
Location D,36.77,70,v1.0,0.29,0.63,Software Update/Reset,30.86
Location D,31.4,73,v2.1,0.27,1.1,Connector Cleaning/Repair,26.45
Location A,15.64,67,v1.1,0.22,1.47,Software Update/Reset,25.67
Location C,23.69,54,v2.0,0.33,1.0,No Maintenance Needed,333.42
Location C,31.09,65,v1.1,0.35,2.1,Software Update/Reset,26.66
Location D,34.7,65,v2.0,0.31,1.02,No Maintenance Needed,312.48
Location B,22.57,75,v1.0,0.98,1.0,Cable Inspection/Replacement,7.49
Location C,4.69,65,v2.0,0.93,1.4,Cable Inspection/Replacement,19.75
Location C,32.19,78,v2.0,0.57,1.84,Connector Cleaning/Repair,49.41
Location A,18.24,60,v1.0,0.98,0.51,Cable Inspection/Replacement,18.26
Location A,11.86,54,v2.0,0.99,0.57,Cable Inspection/Replacement,11.33
Location B,5.34,54,v2.0,0.36,0.86,No Maintenance Needed,329.56
Location C,34.51,59,v2.1,0.45,4.85,Power Supply Unit Fault,6.55
Location C,29.03,59,v2.1,0.96,0.88,Cable Inspection/Replacement,10.49
Location A,26.19,55,v2.1,0.61,0.94,No Maintenance Needed,334.83
Location C,39.11,42,v1.0,0.21,1.36,Software Update/Reset,28.59
Location D,33.1,62,v1.1,0.69,1.63,Software Update/Reset,36.21
Location A,40.93,51,v2.1,0.21,1.09,No Maintenance Needed,358.32
Location B,16.86,66,v1.2,0.34,1.79,No Maintenance Needed,204.64
Location A,27.72,56,v1.1,0.23,0.55,Software Update/Reset,19.3
Location C,15.07,60,v2.0,0.24,0.68,No Maintenance Needed,318.91
Location B,26.16,49,v1.1,0.0,1.79,Software Update/Reset,33.3
Location A,26.01,67,v2.0,0.88,1.01,No Maintenance Needed,329.92
Location D,33.01,58,v2.0,0.3,0.53,No Maintenance Needed,249.22
Location D,28.36,53,v2.0,0.09,0.52,No Maintenance Needed,189.01
Location A,32.99,55,v1.1,0.09,0.67,Software Update/Reset,22.58
Location D,33.63,54,v1.2,0.56,1.0,No Maintenance Needed,307.41
Location D,45.24,52,v1.2,0.99,1.26,Cable Inspection/Replacement,6.62
Location D,25.48,63,v1.2,0.15,0.85,No Maintenance Needed,326.4
Location B,20.47,58,v1.1,0.1,1.21,Software Update/Reset,40.29
Location D,29.97,60,v1.2,0.44,0.8,No Maintenance Needed,295.29
Location D,21.58,67,v2.0,0.56,1.84,No Maintenance Needed,253.59
Location D,39.86,50,v2.0,0.29,3.58,Power Supply Unit Fault,2.68
Location B,25.73,72,v2.0,0.3,0.82,Connector Cleaning/Repair,38.61
Location A,23.48,70,v2.0,0.42,1.27,Connector Cleaning/Repair,39.11
Location C,24.23,61,v1.1,0.31,1.22,Software Update/Reset,34.4
Location D,33.75,70,v2.0,0.92,1.07,Cable Inspection/Replacement,10.62
Location A,26.74,54,v2.0,0.04,1.39,No Maintenance Needed,282.95
Location D,22.87,51,v1.2,0.23,1.27,No Maintenance Needed,190.6
Location B,41.32,52,v2.0,0.81,0.79,No Maintenance Needed,306.82
Location A,21.15,73,v1.1,0.83,1.93,Software Update/Reset,27.08
Location B,28.28,48,v1.2,0.11,1.11,No Maintenance Needed,229.78
Location D,33.22,57,v2.1,0.97,0.82,Cable Inspection/Replacement,10.1
Location D,14.95,59,v2.1,0.69,3.39,Power Supply Unit Fault,5.64
Location B,31.84,59,v2.0,0.27,0.94,No Maintenance Needed,238.24
Location C,19.56,51,v2.0,0.46,1.14,No Maintenance Needed,313.17
Location B,34.58,68,v2.0,0.3,1.09,No Maintenance Needed,278.39
Location D,20.3,67,v2.1,0.15,0.94,No Maintenance Needed,228.57
Location B,33.54,52,v1.2,0.29,1.25,No Maintenance Needed,360.98
Location C,36.85,63,v2.0,0.58,0.66,No Maintenance Needed,278.25
Location B,34.89,67,v1.2,0.83,1.35,No Maintenance Needed,269.5
Location C,30.01,67,v1.0,0.36,0.42,Software Update/Reset,34.62
Location C,26.15,64,v1.2,0.35,0.52,No Maintenance Needed,250.35
Location B,23.39,62,v2.0,0.47,2.49,Power Supply Unit Fault,2.2
Location B,39.77,63,v2.0,0.64,0.53,No Maintenance Needed,209.46
Location A,22.4,52,v2.0,0.75,0.38,No Maintenance Needed,256.5
Location D,19.7,53,v1.0,0.33,0.54,Software Update/Reset,30.98
Location C,33.32,57,v2.0,0.59,2.39,Power Supply Unit Fault,2.96
Location A,21.63,57,v1.1,0.39,0.41,Software Update/Reset,36.42
Location B,20.4,58,v1.1,0.72,0.62,Software Update/Reset,15.32
Location D,16.45,57,v2.1,0.16,0.48,No Maintenance Needed,223.95
Location A,24.14,75,v1.2,0.26,0.87,Connector Cleaning/Repair,39.53
Location C,27.34,73,v2.0,0.43,0.8,Connector Cleaning/Repair,26.97
Location A,29.94,61,v1.0,0.89,0.79,Software Update/Reset,17.69
Location C,35.61,56,v1.2,0.57,2.53,Power Supply Unit Fault,4.12
Location B,32.22,65,v2.0,0.97,0.55,Cable Inspection/Replacement,18.85
Location D,26.47,56,v1.1,0.1,0.95,Software Update/Reset,13.08
Location D,26.41,72,v1.2,0.46,1.18,Connector Cleaning/Repair,38.59
Location D,32.08,63,v1.0,0.42,0.61,Software Update/Reset,13.52
Location B,38.18,53,v2.0,0.6,1.28,No Maintenance Needed,194.71
Location C,29.01,63,v2.1,0.81,0.82,No Maintenance Needed,183.65
Location B,24.25,62,v2.0,0.84,1.21,No Maintenance Needed,308.67
Location D,20.06,69,v2.1,0.67,0.95,Connector Cleaning/Repair,30.79
Location B,16.44,51,v2.0,0.64,0.36,No Maintenance Needed,305.66
Location B,33.33,66,v2.0,0.95,1.92,Cable Inspection/Replacement,5.74
Location B,32.62,67,v2.0,0.38,2.82,Power Supply Unit Fault,2.69
Location C,32.62,53,v2.0,0.83,0.92,No Maintenance Needed,338.92
Location A,26.97,63,v1.2,0.92,0.64,Cable Inspection/Replacement,8.39
Location A,39.26,62,v2.0,0.49,2.12,No Maintenance Needed,297.04
Location B,24.13,60,v1.1,0.73,2.57,Power Supply Unit Fault,5.59
Location A,35.64,59,v1.0,0.38,0.92,Software Update/Reset,26.17
Location A,27.69,65,v2.1,0.16,0.9,No Maintenance Needed,214.29
Location B,23.13,55,v1.0,0.59,0.96,Software Update/Reset,23.93
Location B,32.74,65,v2.1,0.2,0.43,No Maintenance Needed,193.5
Location D,31.28,58,v2.0,0.46,0.86,No Maintenance Needed,269.84
Location A,30.86,53,v1.2,0.87,2.36,Power Supply Unit Fault,6.52
Location C,28.65,63,v2.0,0.09,0.92,No Maintenance Needed,244.22
Location B,27.7,57,v2.0,0.03,0.59,No Maintenance Needed,270.66
Location D,47.11,62,v1.1,0.61,1.28,Software Update/Reset,42.77
Location C,37.47,58,v2.0,0.33,0.72,No Maintenance Needed,195.09
Location A,33.78,71,v2.0,0.42,0.97,Connector Cleaning/Repair,37.31
Location D,28.89,50,v1.1,0.41,0.53,Software Update/Reset,16.54
Location B,36.06,69,v1.0,0.09,0.6,Software Update/Reset,39.89
Location C,32.14,70,v1.1,0.0,1.45,Software Update/Reset,21.54
Location B,28.21,52,v1.1,0.9,1.06,Cable Inspection/Replacement,12.72
Location A,25.57,64,v1.0,0.22,0.68,Software Update/Reset,42.45
Location C,27.35,69,v2.0,0.43,1.06,Connector Cleaning/Repair,56.63
Location A,2.64,68,v1.2,0.97,0.74,Cable Inspection/Replacement,18.87
Location A,29.68,71,v2.0,0.83,0.68,Connector Cleaning/Repair,23.67
Location D,24.09,76,v1.1,0.11,1.79,Software Update/Reset,16.12
Location B,40.74,53,v1.2,0.51,1.48,No Maintenance Needed,264.61
Location C,28.15,59,v2.0,0.73,0.99,No Maintenance Needed,250.44
Location A,18.49,51,v2.0,0.7,1.07,No Maintenance Needed,219.38
Location A,27.6,55,v2.0,0.76,1.0,No Maintenance Needed,189.19
Location C,19.63,73,v1.2,0.46,1.28,Connector Cleaning/Repair,56.68
Location A,31.79,57,v2.0,0.18,0.67,No Maintenance Needed,301.93
Location D,30.33,61,v1.2,0.46,1.54,No Maintenance Needed,320.45
Location D,35.66,63,v1.0,0.65,1.19,Software Update/Reset,36.68
Location D,21.67,69,v1.2,0.61,0.88,Connector Cleaning/Repair,36.04
Location D,28.27,75,v2.0,0.07,0.78,Connector Cleaning/Repair,59.38
Location A,17.08,66,v1.0,0.06,1.52,Software Update/Reset,32.05
Location C,33.61,56,v2.0,0.97,0.93,Cable Inspection/Replacement,18.62
Location C,32.15,66,v2.0,0.15,0.71,No Maintenance Needed,250.3
Location C,31.97,71,v2.1,0.29,0.83,Connector Cleaning/Repair,21.81
Location C,28.01,64,v1.1,0.77,1.47,Software Update/Reset,17.87
Location B,31.32,51,v1.1,0.41,0.45,Software Update/Reset,11.83
Location C,40.83,60,v1.2,0.18,0.84,No Maintenance Needed,236.24
Location B,25.72,56,v1.2,0.47,1.71,No Maintenance Needed,235.0
Location B,29.11,53,v2.0,0.57,0.92,No Maintenance Needed,319.43
Location D,19.31,75,v2.0,0.45,1.15,Connector Cleaning/Repair,22.39
Location B,21.05,62,v2.0,0.92,1.72,Cable Inspection/Replacement,7.85
Location A,28.78,70,v2.0,0.28,1.56,Connector Cleaning/Repair,59.06
Location B,36.83,62,v2.1,0.66,0.8,No Maintenance Needed,349.61
Location D,25.95,59,v1.2,0.11,0.94,No Maintenance Needed,237.39
Location B,26.11,67,v2.1,0.39,1.57,No Maintenance Needed,341.05
Location A,24.74,65,v1.1,0.74,1.6,Software Update/Reset,27.46
Location A,23.72,70,v2.0,0.22,0.96,Connector Cleaning/Repair,59.31
Location A,30.36,60,v2.0,0.59,0.97,No Maintenance Needed,307.96
Location D,16.02,59,v2.0,0.15,1.14,No Maintenance Needed,209.48
Location D,38.25,59,v1.2,0.1,1.98,No Maintenance Needed,354.51
Location C,22.68,59,v2.0,0.52,1.71,No Maintenance Needed,330.09
Location D,33.78,61,v2.1,0.68,1.41,No Maintenance Needed,292.14
Location A,17.84,52,v2.0,0.11,0.58,No Maintenance Needed,282.03
Location A,33.35,70,v2.0,0.92,0.87,Cable Inspection/Replacement,14.13
Location D,33.38,64,v1.0,0.23,0.89,Software Update/Reset,42.71
Location B,31.07,51,v1.1,0.12,2.03,Software Update/Reset,27.6
Location D,20.04,57,v2.1,0.2,0.89,No Maintenance Needed,189.74
Location D,30.0,68,v2.0,0.17,1.87,No Maintenance Needed,219.97
Location A,18.54,72,v2.0,0.09,0.75,Connector Cleaning/Repair,21.77
Location C,25.98,66,v1.2,0.8,0.78,No Maintenance Needed,312.84
Location A,36.24,63,v1.0,0.5,1.27,Software Update/Reset,24.47
Location C,34.37,60,v1.2,0.39,2.19,No Maintenance Needed,208.56
Location A,28.12,66,v1.2,0.95,0.9,Cable Inspection/Replacement,16.15
Location D,20.2,78,v1.1,0.37,0.28,Software Update/Reset,39.67
Location A,33.16,62,v1.1,0.17,0.46,Software Update/Reset,30.55
Location A,28.16,63,v2.0,0.27,1.16,No Maintenance Needed,270.0
